dis,sta,add,das,state,cha,fee,way,ope,sty,no,Latitude,Longitude
三重區,大新上允車業有限公司,新北市三重區福德北路15-1號一樓,機車經銷商,良好,否,不收費,無,是,充電座,4,25.0644114,121.5025694
三重區,上允車業有限公司,新北市三重區福德北路47號,機車經銷商,良好,否,不收費,無,是,插頭式,2,25.0651292,121.5022745
三重區,勝達(永達)機車行,新北市三重區龍門路88號,機車經銷商,良好,是,10元/次,人工計費,是,無,1,25.0728357,121.4972637
三峽區,毅達機車有限公司,新北市三峽區中正路一段101號,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9293211,121.374376
三峽區,廣進車業有限公司,新北市三峽區介壽路一段165號,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9313011,121.3769649
三峽區,新進車業有限公司,新北市三峽區國光路322號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0184768,121.4629083
三峽區,睿騏車業有限公司,新北市三峽區復興路34號,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9364311,121.3742755
土城區,昌隆機車行,新北市土城區中央路1段253號,機車經銷商,良好,否,不收費,無,是,插頭式,2,24.991566,121.448764
土城區,世煇車業有限公司,新北市土城區中央路一段357號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9811325,121.4432335
土城區,鋐鉅車業有限公司,新北市土城區中央路三段229號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9643535,121.4293761
中和區,東茂車業有限公司,新北市中和區中山路2段475號1F,機車經銷商,良好,否,不收費,無,是,插頭式,2,25.0048238,121.483262
中和區,鴻緯車業有限公司,新北市中和區中山路二段467號,機車經銷商,良好,否,不收費,無,是,充電座,4,25.0048128,121.4834914
中和區,申鼎車業有限公司,新北市中和區中正路194號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9939862,121.4974892
中和區,進鑫車業有限公司,新北市中和區中興街156號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.991871,121.4997861
中和區,久川車業有限公司,新北市中和區安樂路68號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9933741,121.5122484
中和區,佳順機車行,新北市中和區南山路543號,機車經銷商,良好,否,不收費,無,是,插頭式,2,24.9868415,121.5081676
中和區,銓富機車有限公司,新北市中和區連城路337-1號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9960664,121.4884303
中和區,佑泰車業有限公司,新北市中和區景新街467巷1號一樓,機車經銷商,良好,否,不收費,無,是,充電座,4,24.988237,121.5135481
中和區,冠盈車業,新北市中和區景新街491號,機車經銷商,未測試,否,不收費,無,是,無,1,24.9872993,121.5139342
五股區,德陽車業行,新北市五股區成泰路一段71號,機車經銷商,良好,否,不收費,無,是,插頭式,4,25.067873,121.434585
永和區,永鑫車業有限公司,新北市永和區中山路一段82-1號一樓,機車經銷商,良好,否,不收費,無,是,充電座,4,25.0110318,121.5119214
永和區,廣固機車行,新北市永和區中正路522號,機車經銷商,良好,否,不收費,無,是,插頭式,4,25.004986,121.5173686
永和區,宏億機車行,新北市永和區文化路165號,機車經銷商,良好,否,不收費,無,是,無,1,25.0164398,121.5102126
永和區,大中車業公司,新北市永和區民族街67巷6號,機車經銷商,良好,否,不收費,無,是,無,1,24.9970955,121.5188445
永和區,弘安車業有限公司,新北市永和區永貞路344號,機車經銷商,良好,否,不收費,無,是,充電座,4,25.0058104,121.510968
